id;date;logtype;actiontype;groupid;user_id;grpusid;parangon;paranon;resourcetypemou;code;message;codage_chat_message;help;resource_id;item_id;resourcetype;mode_of_use;resource_title;creationdate;rightsagreements;resource_size;item_size;reason;game_id;level_id;iswon
19423;03/04/14 09:06:10;addToFridge;addToFridge;64;134;64134;p4_64134;O;bookprintedCopies;;;_;;3;147;book;printedCopies;L'illusion comique : comedie;1639;Domaine Public;/124 p.;7;;682;1;1
19426;03/04/14 09:06:24;feedTamago;feedTamagoGood;64;134;64134;p4_64134;O;bookprintedCopies;;;_;;3;147;book;printedCopies;L'illusion comique : comedie;1639;Domaine Public;/124 p.;7;;682;1;1
19432;03/04/14 09:07:05;addToFridge;addToFridge;64;134;64134;p4_64134;O;bookprintedCopies;;;_;;43;337;book;printedCopies;Le Grand Meaulnes;1913;Domaine Public;/;100;;682;1;1
19435;03/04/14 09:07:10;feedTamago;feedTamagoGood;64;134;64134;p4_64134;O;bookprintedCopies;;;_;;43;337;book;printedCopies;Le Grand Meaulnes;1913;Domaine Public;/;100;;682;1;1
19450;03/04/14 09:07:56;addToFridge;addToFridge;64;134;64134;p4_64134;O;journaloral;;;_;;119;552;journal;oral;Le Nouvel observateur;1964;Droits d'auteur;/;10 articles;;682;1;1
19452;03/04/14 09:08:00;feedTamago;feedTamagoGood;64;134;64134;p4_64134;O;journaloral;;;_;;119;552;journal;oral;Le Nouvel observateur;1964;Droits d'auteur;/;10 articles;;682;1;1
19475;03/04/14 09:09:29;addToFridge;addToFridge;64;134;64134;p4_64134;O;journaloral;;;_;;117;541;journal;oral;Science et vie;1913;Droits d'auteur;/;1 article;;682;1;1
19483;03/04/14 09:09:38;feedTamago;feedTamagoGood;64;134;64134;p4_64134;O;journaloral;;;_;;117;541;journal;oral;Science et vie;1913;Droits d'auteur;/;1 article;;682;1;1
19522;03/04/14 09:11:51;chat;chat;64;134;64134;p4_64134;O;;F;"Ben, les 3 etapes sont decrites juste au-dessus ; sinon, il faut avoir parcouru le site sur l'exception pedagogique pour eviter les problemes de digestion, lol (en fait, un prof n'a pas le droit de faire grand chose...)";"F_Ben, les 3 etapes sont decrites juste au-dessus ; sinon, il faut avoir parcouru le site sur l'exception pedagogique pour eviter les problemes de digestion, lol (en fait, un prof n'a pas le droit de faire grand chose...)";;;;;;;;;/;;;683;2;0
19539;03/04/14 09:12:40;addToFridge;addToFridge;64;134;64134;p4_64134;O;bookassessments;;;_;;24;288;book;assessments;L'oracle della Luna Tome 2 lea amants de Venise;2013;Droits d'auteur;/1 vol. (56 p.);4;Sous droits d'auteur;683;2;0
19540;03/04/14 09:12:43;feedTamago;feedTamagoBad;64;134;64134;p4_64134;O;bookassessments;;;_;;24;288;book;assessments;L'oracle della Luna Tome 2 lea amants de Venise;2013;Droits d'auteur;/1 vol. (56 p.);4;Sous droits d'auteur;683;2;0
