Codage,_id,actionType,creationDate,date,game_id,group_id,grpus_id,help,id,isWon,item_id,item_size,level_id,logType,message,mode_of_use,reason,resourceType,resourceTypeMoU,resource_id,resource_size,resource_title,rightsAgreements,user_id
,6267a0cf98c0f1a79ae3d85d,fillCupboard,,31/03/2015 09:05:50,62,8,8,,2981,true,,,1,fillCupboard,,,,,,,/,,,
,6267a0cf98c0f1a79ae3d85e,showItemCUPBOARD,1898,31/03/2015 09:06:12,62,8,8,,2985,true,517,intégrale,1,showItemCUPBOARD,,,,journal,journal,111,/,Journal de,Domaine public,27
,6267a0cf98c0f1a79ae3d85f,showItemCUPBOARD,1964,31/03/2015 09:06:33,62,8,8,,2986,true,552,10 articles,1,showItemCUPBOARD,,,,journal,journal,119,/,Le Nouvel,"Droits d'auteur CFC",26
OJ,6267a0cf98c0f1a79ae3d860,chat,,31/03/2015 09:06:37,62,8,8,,2988,true,,,1,chat,"Bonjour. Le frigo a l'air bien rempli.",,,,,,/,,,27
NC,6267a0cf98c0f1a79ae3d861,chat,,31/03/2015 09:06:52,62,8,8,,2991,true,,,1,chat,Bonjour...,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d862,showItemCUPBOARD,1898,31/03/2015 09:06:52,62,8,8,,2992,true,521,6 articles,1,showItemCUPBOARD,,,,journal,journal,111,/,Journal de,Domaine public,27
,6267a0cf98c0f1a79ae3d863,addToFridge,1898,31/03/2015 09:07:15,62,8,8,,2994,true,521,6 articles,1,addToFridge,,printedCopies,,journal,journalprintedCopies,111,/,Journal de,Domaine public,27
,6267a0cf98c0f1a79ae3d866,addToFridge,1983,31/03/2015 09:07:34,62,8,8,,2997,true,506,1 article,1,addToFridge,,printedCopies,"Sous droits d'auteur",journal,journalprintedCopies,108,/,The Washin,"Droits d'auteur",26
O,6267a0cf98c0f1a79ae3d868,chat,,31/03/2015 09:07:55,62,8,8,,3000,true,,,1,chat,"J'ai placé une ressource textuelle : le Journal de l'enseignement avec une diffusion en copie imprimée",,,,,,/,,,27
OJ,6267a0cf98c0f1a79ae3d869,chat,,31/03/2015 09:08:02,62,8,8,,3001,true,,,1,chat,"J'ai vu...",,,,,,/,,,26
,6267a0cf98c0f1a79ae3d86a,tuto,,31/03/2015 09:08:12,62,8,8,,3002,true,,,1,tuto,,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d86b,helpLink,,31/03/2015 09:08:17,62,8,8,Accès aide en ligne,3003,true,,,1,helpLink,,,,,,,/,,,26
Q,6267a0cf98c0f1a79ae3d86c,chat,,31/03/2015 09:08:19,62,8,8,,3004,true,,,1,chat,Je vais essayer de le nourrir avec cela. Cela te va?,,,,,,/,,,27
O,6267a0cf98c0f1a79ae3d86d,chat,,31/03/2015 09:08:32,62,8,8,,3006,true,,,1,chat,Fais donc...,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d86e,feedTamagoGood,1898,31/03/2015 09:08:37,62,8,8,,3007,true,521,6 articles,1,feedTamago,,printedCopies,,journal,journalprintedCopies,111,/,Journal de,Domaine public,27
OJ,6267a0cf98c0f1a79ae3d86f,chat,,31/03/2015 09:08:45,62,8,8,,3008,true,,,1,chat,apparemment on est obligé de tester les effets,,,,,,/,,,26
OJ,6267a0cf98c0f1a79ae3d870,chat,,31/03/2015 09:08:52,62,8,8,,3009,true,,,1,chat,"Il a l'air d'avoir apprécié...",,,,,,/,,,27
OJ,6267a0cf98c0f1a79ae3d871,chat,,31/03/2015 09:09:08,62,8,8,,3010,true,,,1,chat,tu le vois ou?,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d872,showItemCUPBOARD,1639,31/03/2015 09:09:11,62,8,8,,3011,true,149,4,1,showItemCUPBOARD,,,,book,book,3,/124 p.,"L'illusion",Domaine Public,27
,6267a0cf98c0f1a79ae3d873,showItemCUPBOARD,2013,31/03/2015 09:09:21,62,8,8,,3013,true,325,25,1,showItemCUPBOARD,,,,book,book,41,/230,"A l'école","Droits d'auteur CFC",27
OJ,6267a0cf98c0f1a79ae3d874,chat,,31/03/2015 09:09:29,62,8,8,,3014,true,,,1,chat,(ok le score a augmenté mais niveau couleur c est pareil non?),,,,,,/,,,26
,6267a0cf98c0f1a79ae3d876,showItemCUPBOARD,2013,31/03/2015 09:09:52,62,8,8,,3016,true,325,25,1,showItemCUPBOARD,,,,book,book,41,/230,"A l'école","Droits d'auteur CFC",27
OJ,6267a0cf98c0f1a79ae3d878,chat,,31/03/2015 09:10:24,62,8,8,,3018,true,,,1,chat,"Je regarde A l'école des stéréotypes en bas du placard. Que pourrait-on faire avec cette ressource?",,,,,,/,,,27
H,6267a0cf98c0f1a79ae3d879,chat,,31/03/2015 09:10:25,62,8,8,,3019,true,,,1,chat,bon je vais essayer avec le washington post en copie imprimée...,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d87a,showItemCUPBOARD,2013,31/03/2015 09:10:28,62,8,8,,3020,true,325,25,1,showItemCUPBOARD,,,,book,book,41,/230,"A l'école","Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d87b,showItemCUPBOARD,2013,31/03/2015 09:10:42,62,8,8,,3021,true,325,25,1,showItemCUPBOARD,,,,book,book,41,/230,"A l'école","Droits d'auteur CFC",26
O,6267a0cf98c0f1a79ae3d87d,chat,,31/03/2015 09:10:58,62,8,8,,3023,true,,,1,chat,Très bien. Voyons.,,,,,,/,,,27
Q,6267a0cf98c0f1a79ae3d87e,chat,,31/03/2015 09:11:02,62,8,8,,3024,true,,,1,chat,présentation orale?,,,,,,/,,,26
O,6267a0cf98c0f1a79ae3d87f,chat,,31/03/2015 09:11:12,62,8,8,,3025,true,,,1,chat,Pourquoi pas?,,,,,,/,,,27
O,6267a0cf98c0f1a79ae3d880,chat,,31/03/2015 09:11:17,62,8,8,,3026,true,,,1,chat,"(ca a l'air d'etre le genre de trucs qu'un élève étudie puis présente)",,,,,,/,,,26
,6267a0cf98c0f1a79ae3d881,feedTamagoBad,1983,31/03/2015 09:11:20,62,8,8,,3027,true,506,1 article,1,feedTamago,,printedCopies,"Sous droits d'auteur",journal,journalprintedCopies,108,/,The Washin,"Droits d'auteur",26
OJ,6267a0cf98c0f1a79ae3d883,chat,,31/03/2015 09:11:36,62,8,8,,3029,true,,,1,chat,ok washington post il aime pas...,,,,,,/,,,26
OJ,6267a0cf98c0f1a79ae3d884,chat,,31/03/2015 09:11:36,62,8,8,,3030,true,,,1,chat,Il a un peu hoqueté.,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d885,showItemCUPBOARD,2013,31/03/2015 09:11:44,62,8,8,,3031,true,322,25,1,showItemCUPBOARD,,,,book,book,41,/230,"A l'école","Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d886,addToFridge,2013,31/03/2015 09:11:59,62,8,8,,3032,true,322,25,1,addToFridge,,assessments,,book,bookassessments,41,/230,"A l'école","Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d887,showItemCUPBOARD,1913,31/03/2015 09:12:06,62,8,8,,3033,true,542,1 article,1,showItemCUPBOARD,,,,journal,journal,117,/,Science et,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d888,helpLink,,31/03/2015 09:12:19,62,8,8,Accès aide en ligne,3034,true,,,1,helpLink,,,,,,,/,,,26
Q,6267a0cf98c0f1a79ae3d889,chat,,31/03/2015 09:12:20,62,8,8,,3035,true,,,1,chat,"Je mets ""à l'école des stéréotypes"" en sujet d'examen. Cela te va?",,,,,,/,,,27
O,6267a0cf98c0f1a79ae3d88a,chat,,31/03/2015 09:12:29,62,8,8,,3036,true,,,1,chat,yep,,,,,,/,,,26
O,6267a0cf98c0f1a79ae3d88b,chat,,31/03/2015 09:12:31,62,8,8,,3037,true,,,1,chat,ca me va,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d88c,feedTamagoGood,2013,31/03/2015 09:12:33,62,8,8,,3038,true,322,25,1,feedTamago,,assessments,,book,bookassessments,41,/230,"A l'école","Droits d'auteur CFC",27
OJ,6267a0cf98c0f1a79ae3d88d,chat,,31/03/2015 09:12:41,62,8,8,,3039,true,,,1,chat,Il apprécie.,,,,,,/,,,27
OJ,6267a0cf98c0f1a79ae3d88e,chat,,31/03/2015 09:12:41,62,8,8,,3040,true,,,1,chat,ok ca il aime...,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d88f,showItemCUPBOARD,1964,31/03/2015 09:12:50,62,8,8,,3041,true,547,1 article,1,showItemCUPBOARD,,,,journal,journal,119,/,Le Nouvel,"Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d890,showItemCUPBOARD,1913,31/03/2015 09:12:57,62,8,8,,3042,true,335,intégrale,1,showItemCUPBOARD,,,,book,book,43,/,Le Grand M,Domaine Public,26
,6267a0cf98c0f1a79ae3d891,showItemCUPBOARD,1983,31/03/2015 09:13:03,62,8,8,,3043,true,508,5 articles,1,showItemCUPBOARD,,,,journal,journal,108,/,The Washin,"Droits d'auteur",26
O,6267a0cf98c0f1a79ae3d892,chat,,31/03/2015 09:13:12,62,8,8,,3044,true,,,1,chat,Mettons le Nouvel observateur...,,,,,,/,,,27
H,6267a0cf98c0f1a79ae3d893,chat,,31/03/2015 09:13:15,62,8,8,,3045,true,,,1,chat,ok je crois avoir compris un truc,,,,,,/,,,26
H,6267a0cf98c0f1a79ae3d894,chat,,31/03/2015 09:13:27,62,8,8,,3046,true,,,1,chat,washington post n est pas dans le domaine public :,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d895,addToFridge,1964,31/03/2015 09:13:29,62,8,8,,3047,true,547,1 article,1,addToFridge,,assessments,,journal,journalassessments,119,/,Le Nouvel,"Droits d'auteur CFC",27
H,6267a0cf98c0f1a79ae3d896,chat,,31/03/2015 09:13:33,62,8,8,,3048,true,,,1,chat,tu n ens fais pas des photocopies,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d897,showItemTAMAGO,2013,31/03/2015 09:13:40,62,8,8,,3049,true,322,25,1,showItem,,assessments,,book,bookassessments,41,/230,"A l'école","Droits d'auteur CFC",26
,6267a0cf98c0f1a79ae3d898,helpLink,,31/03/2015 09:13:50,62,8,8,Accès aide en ligne,3050,true,,,1,helpLink,,,,,,,/,,,27
,6267a0cf98c0f1a79ae3d89a,showItemTAMAGO,1898,31/03/2015 09:14:12,62,8,8,,3052,true,521,6 articles,1,showItem,,printedCopies,,journal,journalprintedCopies,111,/,Journal de,Domaine public,26
Q,6267a0cf98c0f1a79ae3d89b,chat,,31/03/2015 09:14:21,62,8,8,,3053,true,,,1,chat,"Penses-tu qu'un article de journal peut etre photocopié?",,,,,,/,,,27
