id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
27389;2000-01-01 00:00:00;chat;88;130;;;
27404;2000-01-01 00:00:30;chat;88;130;;;
27406;2000-01-01 00:00:35;chat;88;130;;;
27422;2000-01-01 00:01:02;showItemCupboard;88;130;book;;35
27444;2000-01-01 00:01:30;addToFridge;88;130;bookoral;;35
27447;2000-01-01 00:01:36;feedTamagoGood;88;130;bookoral;;35
27456;2000-01-01 00:01:47;showItemCupboard;88;130;book;;41
27459;2000-01-01 00:01:53;addToFridge;88;130;bookoral;;41
27460;2000-01-01 00:01:55;feedTamagoGood;88;130;bookoral;;41
27462;2000-01-01 00:01:57;showItemCupboard;88;130;book;;47
27467;2000-01-01 00:02:05;addToFridge;88;130;bookprintedCopies;;47
27469;2000-01-01 00:02:06;feedTamagoGood;88;130;bookprintedCopies;;47
27474;2000-01-01 00:02:13;showItemCupboard;88;130;book;;41
27481;2000-01-01 00:02:19;addToFridge;88;130;bookoral;;41
27483;2000-01-01 00:02:20;feedTamagoGood;88;130;bookoral;;41
27491;2000-01-01 00:02:28;showItemCupboard;88;130;book;;24
27499;2000-01-01 00:02:37;showItemCupboard;88;130;sound;;311
27503;2000-01-01 00:02:44;addToFridge;88;130;soundprojection;;311
27504;2000-01-01 00:02:45;feedTamagoBad;88;130;soundprojection;;311
27510;2000-01-01 00:02:48;showItemCupboard;88;130;book;;45
27514;2000-01-01 00:02:52;help;88;130;;Acces aide en ligne;
27518;2000-01-01 00:02:56;helpLink;88;130;;Licences Creative Commons;
27535;2000-01-01 00:03:19;showItemTAMAGO;88;130;soundprojection;;311
27539;2000-01-01 00:03:25;showItemCupboard;88;130;book;;45
27544;2000-01-01 00:03:29;showItemCupboard;88;130;book;;45
27547;2000-01-01 00:03:36;addToFridge;88;130;bookprintedCopies;;45
27551;2000-01-01 00:03:38;feedTamagoGood;88;130;bookprintedCopies;;45
27557;2000-01-01 00:03:41;showItemFRIDGE;88;130;soundprojection;;338
27559;2000-01-01 00:03:45;showItemCupboard;88;130;book;;1
27569;2000-01-01 00:03:54;showItemCupboard;88;130;journal;;101
27577;2000-01-01 00:04:03;addToFridge;88;130;journalprojection;;101
27586;2000-01-01 00:04:09;showItemFRIDGE;88;130;journalprojection;;101
27589;2000-01-01 00:04:12;feedTamagoBad;88;130;journalprojection;;101
27592;2000-01-01 00:04:16;showItemCupboard;88;130;book;;1
27598;2000-01-01 00:04:23;showItemCupboard;88;130;journal;;113
27621;2000-01-01 00:04:40;showItemCupboard;88;130;book;;24
27629;2000-01-01 00:04:50;showItemCupboard;88;130;book;;24
27642;2000-01-01 00:05:00;addToFridge;88;130;bookphotocopy;;24
27644;2000-01-01 00:05:02;feedTamagoGood;88;130;bookphotocopy;;24
27656;2000-01-01 00:05:12;showItemCupboard;88;130;book;;24
27665;2000-01-01 00:05:20;addToFridge;88;130;bookprojection;;24
27667;2000-01-01 00:05:21;feedTamagoBad;88;130;bookprojection;;24
27683;2000-01-01 00:05:35;showItemCupboard;88;130;sound;;300
27696;2000-01-01 00:05:51;showItemCupboard;88;130;sound;;307
