id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
1;2000-01-01 00:01:01;fillCupboard;20;;;;
3;2000-01-01 00:01:59;addToFridge;20;57;bookassessments;;18
4;2000-01-01 00:02:00;helpLink;20;56;;Accès aide en ligne;
5;2000-01-01 00:02:17;showItemFRIDGE;20;57;bookassessments;;18
6;2000-01-01 00:02:27;showItemFRIDGE;20;56;bookassessments;;18
7;2000-01-01 00:02:38;showItemCUPBOARD;20;55;book;;44
8;2000-01-01 00:02:49;chat;20;57;;;
9;2000-01-01 00:02:58;tuto;20;56;;;
10;2000-01-01 00:03:01;helpLink;20;56;;Accès aide en ligne;
11;2000-01-01 00:03:02;addToFridge;20;55;bookassessments;;44
12;2000-01-01 00:03:04;HelpLink;20;56;;"Droit d'auteur et exception pédagogique";
13;2000-01-01 00:03:09;helpLink;20;57;;Accès aide en ligne;
14;2000-01-01 00:03:13;HelpLink;20;57;;"Droit d'auteur et exception pédagogique";
15;2000-01-01 00:03:20;showItemCUPBOARD;20;55;book;;47
16;2000-01-01 00:03:38;addToFridge;20;55;bookprintedCopies;;47
17;2000-01-01 00:03:49;feedTamagoGood;20;55;bookprintedCopies;;47
18;2000-01-01 00:03:54;feedTamagoBad;20;57;bookassessments;;18
19;2000-01-01 00:04:02;feedTamagoGood;20;55;bookassessments;;44
20;2000-01-01 00:04:09;showItemTAMAGO;20;56;bookassessments;;44
21;2000-01-01 00:04:18;showItemCUPBOARD;20;55;journal;;107
22;2000-01-01 00:04:21;showItemCUPBOARD;20;56;journal;;107
23;2000-01-01 00:04:22;showItemCUPBOARD;20;57;journal;;113
24;2000-01-01 00:04:35;helpLink;20;57;;Accès aide en ligne;
25;2000-01-01 00:04:39;helpLink;20;56;;Accès aide en ligne;
28;2000-01-01 00:05:22;showItemCUPBOARD;20;56;book;;19
29;2000-01-01 00:05:24;showItemCUPBOARD;20;57;book;;19
30;2000-01-01 00:05:38;showItemCUPBOARD;20;56;book;;44
31;2000-01-01 00:05:46;addToFridge;20;55;journalprojection;;107
32;2000-01-01 00:05:46;showItemCUPBOARD;20;56;book;;41
33;2000-01-01 00:05:49;showItemTAMAGO;20;57;bookassessments;;18
34;2000-01-01 00:06:05;showItemCUPBOARD;20;55;journal;;110
35;2000-01-01 00:06:07;showItemCUPBOARD;20;56;book;;18
36;2000-01-01 00:06:20;showItemCUPBOARD;20;57;book;;44
37;2000-01-01 00:06:23;showItemCUPBOARD;20;56;book;;44
38;2000-01-01 00:06:36;showItemCUPBOARD;20;56;book;;44
39;2000-01-01 00:06:45;showItemFRIDGE;20;56;journalprojection;;107
40;2000-01-01 00:06:52;addToFridge;20;55;journalassessments;;110
41;2000-01-01 00:07:03;feedTamagoGood;20;55;journalassessments;;110
42;2000-01-01 00:07:04;addToFridge;20;57;bookoral;;44
45;2000-01-01 00:07:26;feedTamagoGood;20;57;bookoral;;44
46;2000-01-01 00:07:33;helpLink;20;56;;Accès aide en ligne;
47;2000-01-01 00:07:35;showItemCUPBOARD;20;55;book;;41
49;2000-01-01 00:07:37;showItemCUPBOARD;20;57;journal;;113
53;2000-01-01 00:08:27;fillCupboard;20;;;;
54;2000-01-01 00:08:36;showItemLEVEL;20;57;bookassessments;;18
55;2000-01-01 00:08:45;chat;20;56;;;
56;2000-01-01 00:08:57;showItemCUPBOARD;20;56;sound;;313
57;2000-01-01 00:09:04;helpLink;20;56;;Accès aide en ligne;
58;2000-01-01 00:09:05;showItemCUPBOARD;20;55;book;;1
59;2000-01-01 00:09:06;showItemCUPBOARD;20;57;journal;;121
60;2000-01-01 00:09:06;HelpLink;20;56;;Synthèse exception pédagogique - Enregistrements a;
61;2000-01-01 00:09:15;addToFridge;20;55;bookassessments;;1
62;2000-01-01 00:09:24;addToFridge;20;57;journalprintedCopies;;121
63;2000-01-01 00:09:25;showItemFRIDGE;20;57;journalprintedCopies;;121
64;2000-01-01 00:09:30;showItemCUPBOARD;20;55;sound;;313
65;2000-01-01 00:09:44;addToFridge;20;55;soundprojection;;313
66;2000-01-01 00:09:46;removeFromFridge;20;57;journalprintedCopies;;121
67;2000-01-01 00:09:51;showItemCUPBOARD;20;57;journal;;121
68;2000-01-01 00:09:52;feedTamagoBad;20;55;soundprojection;;313
