id;date;logtype;actiontype;groupid;user_id;grpusid;parangon;paranon;resourcetypemou;code;message;codage_chat_message;help;resource_id;item_id;resourcetype;mode_of_use;resource_title;creationdate;rightsagreements;resource_size;item_size;reason;game_id;level_id;iswon
26774;2014-04-07 11:17:10;addToFridge;addToFridge;87;198;87198;p1_87198;O;journaloral;;;_;;105;490;journal;oral;20 minutes;2005;Droits d'auteur;/;3 articles;;909;1;1
33584;2014-04-07 11:17:10;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;34;305;book;;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;;1140;1;1
26775;2014-04-07 11:17:16;feedTamago;feedTamagoGood;87;198;87198;p1_87198;O;journaloral;;;_;;105;490;journal;oral;20 minutes;2005;Droits d'auteur;/;3 articles;;909;1;1
33594;2014-04-07 11:17:40;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;34;305;book;printedCopies;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;Sous droits d'auteur;1140;1;1
33605;2014-04-07 11:18:00;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;41;325;book;;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;1140;1;1
33617;2014-04-07 11:18:26;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookoral;;;_;;41;325;book;oral;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;1140;1;1
33621;2014-04-07 11:18:34;feedTamago;feedTamagoBad;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;34;305;book;printedCopies;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;Sous droits d'auteur;1140;1;1
26781;2014-04-07 11:18:37;addToFridge;addToFridge;87;198;87198;p1_87198;O;bookoral;;;_;;3;144;book;oral;L'illusion comique : comedie;1639;Domaine Public;/124 p.;integrale;;909;1;1
26782;2014-04-07 11:18:40;feedTamago;feedTamagoGood;87;198;87198;p1_87198;O;bookoral;;;_;;3;144;book;oral;L'illusion comique : comedie;1639;Domaine Public;/124 p.;integrale;;909;1;1
26785;2014-04-07 11:18:45;showItemCupboard;showItemCupboard;87;198;87198;p1_87198;O;book;;;_;;41;323;book;;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;909;1;1
33627;2014-04-07 11:18:49;showItem;showItemSTOMACH;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;34;305;book;printedCopies;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;Sous droits d'auteur;1140;1;1
26788;2014-04-07 11:18:58;addToFridge;addToFridge;87;198;87198;p1_87198;O;bookoral;;;_;;41;323;book;oral;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;909;1;1
26789;2014-04-07 11:19:01;feedTamago;feedTamagoGood;87;198;87198;p1_87198;O;bookoral;;;_;;41;323;book;oral;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;909;1;1
33636;2014-04-07 11:19:11;feedTamago;feedTamagoGood;114;251;114251;p3_114251;O;bookoral;;;_;;41;325;book;oral;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;1140;1;1
33644;2014-04-07 11:19:34;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;3;149;book;;L'illusion comique : comedie;1639;Domaine Public;/124 p.;4;;1140;1;1
33653;2014-04-07 11:19:58;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;3;149;book;printedCopies;L'illusion comique : comedie;1639;Domaine Public;/124 p.;4;;1140;1;1
33657;2014-04-07 11:20:04;feedTamago;feedTamagoGood;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;3;149;book;printedCopies;L'illusion comique : comedie;1639;Domaine Public;/124 p.;4;;1140;1;1
33681;2014-04-07 11:20:49;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;47;365;book;;Exercices de Mathematiques pour ma classe de 2nd;2012;Creative Commons;/25p;1;;1143;2;1
26801;2014-04-07 11:20:50;addToFridge;addToFridge;87;198;87198;p1_87198;O;bookoral;;;_;;1;119;book;oral;L'illusion comique;2003;Droits d'auteur CFC;/1 vol. (206 p.);5;;909;1;1
33699;2014-04-07 11:21:17;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;47;365;book;printedCopies;Exercices de Mathematiques pour ma classe de 2nd;2012;Creative Commons;/25p;1;;1143;2;1
26810;2014-04-07 11:21:22;showItemCupboard;showItemCupboard;87;198;87198;p1_87198;O;book;;;_;;43;335;book;;Le Grand Meaulnes;1913;Domaine Public;/;integrale;;909;1;1
33709;2014-04-07 11:21:32;feedTamago;feedTamagoGood;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;47;365;book;printedCopies;Exercices de Mathematiques pour ma classe de 2nd;2012;Creative Commons;/25p;1;;1143;2;1
26811;2014-04-07 11:21:37;addToFridge;addToFridge;87;198;87198;p1_87198;O;bookprintedCopies;;;_;;43;335;book;printedCopies;Le Grand Meaulnes;1913;Domaine Public;/;integrale;;909;1;1
26813;2014-04-07 11:21:39;feedTamago;feedTamagoGood;87;198;87198;p1_87198;O;bookprintedCopies;;;_;;43;335;book;printedCopies;Le Grand Meaulnes;1913;Domaine Public;/;integrale;;909;1;1
33720;2014-04-07 11:21:48;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;sound;;;_;;309;403;sound;;J'attends l'orage;2006;Creative Commons;3 min/;Integrale;;1143;2;1
26816;2014-04-07 11:21:50;feedTamago;feedTamagoGood;87;198;87198;p1_87198;O;bookoral;;;_;;1;119;book;oral;L'illusion comique;2003;Droits d'auteur CFC;/1 vol. (206 p.);5;;909;1;1
33727;2014-04-07 11:22:02;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;sound;;;_;;303;384;sound;;Chefs d'oeuvre et decouvertes;2013;Droits d'auteur;120 m/;35 min;;1143;2;1
