Codage,_id,actionType,creationDate,date,game_id,group_id,grpus_id,help,id,isWon,item_id,item_size,level_id,logType,message,mode_of_use,reason,resourceType,resourceTypeMoU,resource_id,resource_size,resource_title,rightsAgreements,user_id
,6267a0cf98c0f1a79ae3e36f,fillCupboard,,01/04/2015 13:05:03,143,20,20,,6137,true,,,1,fillCupboard,,,,,,,/,,,
,6267a0cf98c0f1a79ae3e373,showItemCUPBOARD,2013,01/04/2015 13:06:00,143,20,20,,6156,true,469,1 article,1,showItemCUPBOARD,,,,journal,journal,102,/,"Histoire,","Droits d'auteur",55
,6267a0cf98c0f1a79ae3e374,addToFridge,2013,01/04/2015 13:06:01,143,20,20,,6157,true,266,30,1,addToFridge,,assessments,"Sous droits d'auteur",book,bookassessments,18,/1 vol. (277 p.),Giotto et,"Droits d'auteur",57
,6267a0cf98c0f1a79ae3e375,helpLink,,01/04/2015 13:06:02,143,20,20,Accès aide en ligne,6158,true,,,1,helpLink,,,,,,,/,,,56
,6267a0cf98c0f1a79ae3e376,showItemFRIDGE,2013,01/04/2015 13:06:19,143,20,20,,6159,true,266,30,1,showItemFRIDGE,,assessments,"Sous droits d'auteur",book,bookassessments,18,/1 vol. (277 p.),Giotto et,"Droits d'auteur",57
,6267a0cf98c0f1a79ae3e377,showItemFRIDGE,2013,01/04/2015 13:06:29,143,20,20,,6160,true,266,30,1,showItemFRIDGE,,assessments,"Sous droits d'auteur",book,bookassessments,18,/1 vol. (277 p.),Giotto et,"Droits d'auteur",56
,6267a0cf98c0f1a79ae3e379,showItemCUPBOARD,1637,01/04/2015 13:06:40,143,20,20,,6162,true,343,52,1,showItemCUPBOARD,,,,book,book,44,/,Discours d,Domaine Public,55
O,6267a0cf98c0f1a79ae3e37b,chat,,01/04/2015 13:06:51,143,20,20,,6164,true,,,1,chat,je lui donne Giotto,,,,,,/,,,57
,6267a0cf98c0f1a79ae3e37e,tuto,,01/04/2015 13:07:00,143,20,20,,6167,true,,,1,tuto,,,,,,,/,,,56
,6267a0cf98c0f1a79ae3e37f,helpLink,,01/04/2015 13:07:03,143,20,20,Accès aide en ligne,6168,true,,,1,helpLink,,,,,,,/,,,56
,6267a0cf98c0f1a79ae3e380,addToFridge,1637,01/04/2015 13:07:04,143,20,20,,6169,true,343,52,1,addToFridge,,assessments,,book,bookassessments,44,/,Discours d,Domaine Public,55
,6267a0cf98c0f1a79ae3e381,HelpLink,,01/04/2015 13:07:06,143,20,20,"Droit d'auteur et exception pédagogique",6170,true,,,1,HelpLink,,,,,,,/,,,56
,6267a0cf98c0f1a79ae3e383,helpLink,,01/04/2015 13:07:11,143,20,20,Accès aide en ligne,6172,true,,,1,helpLink,,,,,,,/,,,57
,6267a0cf98c0f1a79ae3e385,HelpLink,,01/04/2015 13:07:15,143,20,20,"Droit d'auteur et exception pédagogique",6174,true,,,1,HelpLink,,,,,,,/,,,57
,6267a0cf98c0f1a79ae3e387,showItemCUPBOARD,2012,01/04/2015 13:07:22,143,20,20,,6176,true,363,7,1,showItemCUPBOARD,,,,book,book,47,/25p,Exercices,Creative Commons,55
,6267a0cf98c0f1a79ae3e38b,addToFridge,2012,01/04/2015 13:07:40,143,20,20,,6180,true,363,7,1,addToFridge,,printedCopies,,book,bookprintedCopies,47,/25p,Exercices,Creative Commons,55
,6267a0cf98c0f1a79ae3e38e,feedTamagoGood,2012,01/04/2015 13:07:51,143,20,20,,6183,true,363,7,1,feedTamago,,printedCopies,,book,bookprintedCopies,47,/25p,Exercices,Creative Commons,55
,6267a0cf98c0f1a79ae3e38f,feedTamagoBad,2013,01/04/2015 13:07:56,143,20,20,,6184,true,266,30,1,feedTamago,,assessments,"Sous droits d'auteur",book,bookassessments,18,/1 vol. (277 p.),Giotto et,"Droits d'auteur",57
,6267a0cf98c0f1a79ae3e391,feedTamagoGood,1637,01/04/2015 13:08:04,143,20,20,,6186,true,343,52,1,feedTamago,,assessments,,book,bookassessments,44,/,Discours d,Domaine Public,55
,6267a0cf98c0f1a79ae3e393,showItemTAMAGO,1637,01/04/2015 13:08:11,143,20,20,,6188,true,343,52,1,showItem,,assessments,,book,bookassessments,44,/,Discours d,Domaine Public,56
,6267a0cf98c0f1a79ae3e394,showItemCUPBOARD,1997,01/04/2015 13:08:20,143,20,20,,6189,true,501,1 article,1,showItemCUPBOARD,,,,journal,journal,107,/,"L'Humanité","Droits d'auteur CFC",55
,6267a0cf98c0f1a79ae3e395,showItemCUPBOARD,1997,01/04/2015 13:08:23,143,20,20,,6190,true,499,1 article,1,showItemCUPBOARD,,,,journal,journal,107,/,"L'Humanité","Droits d'auteur CFC",56
,6267a0cf98c0f1a79ae3e396,showItemCUPBOARD,,01/04/2015 13:08:24,143,20,20,,6191,true,529,intégrale,1,showItemCUPBOARD,,,,journal,journal,113,/,Le Figaro,Domaine public,57
,6267a0cf98c0f1a79ae3e398,helpLink,,01/04/2015 13:08:37,143,20,20,Accès aide en ligne,6193,true,,,1,helpLink,,,,,,,/,,,57
,6267a0cf98c0f1a79ae3e399,helpLink,,01/04/2015 13:08:41,143,20,20,Accès aide en ligne,6194,true,,,1,helpLink,,,,,,,/,,,56
,6267a0cf98c0f1a79ae3e39b,HelpLink,,01/04/2015 13:08:44,143,20,20,"Synthèse exception pédagogique - Livres, Périodiqu",6196,true,,,1,HelpLink,,,,,,,/,,,56
,6267a0cf98c0f1a79ae3e39c,HelpLink,,01/04/2015 13:08:52,143,20,20,"Synthèse exception pédagogique - Livres, Périodiqu",6197,true,,,1,HelpLink,,,,,,,/,,,57
